,id_individuo,observaciones,comentarios
57,57,"Tipo de vegetación bosque mesófilo, frecuencia alta",NA
58,58,Tipo de vegetación bosque de encino perturbado con cafetales,NA
59,59,Tipo de vegetación bosque de encino perturbado con cafetales,NA
60,60,Tipo de vegetación bosque de encino perturbado con cafetales,NA
61,61,"Tipo de vegetación bosque mesófilo con helechos arborescentes, frecuencia escasa, tamaño 25m",NA
62,62,Tipo de vegetación bosque de encino,NA
63,63,NA,SIN FICHA
64,65,"Tipo de vegetación potreros, frecuencia alta, tamaño 15m","SIN FICHA, FALTAN 2 REGISTROS QUE NO SE"
65,65,"Tipo de vegetación potreros, frecuencia alta, tamaño 15m","SIN FICHA, FALTAN 2 REGISTROS QUE NO SE"
66,66,NA,NA
67,67,NA,NA
68,68,"Tipo de vegetación pino encino, frecuencia alta",NA
69,69,NA,NA
70,70,Tipo de vegetación bosque de encino perturbado con cafetales,NA
71,71,"Tipo de vegetación pino encino, frecuencia alta, tamaño 15m",NA
72,72,"Tipo de vegetación pino encino, frecuencia alta, tamaño 15m",NA
73,73,"Tipo de vegetación pino encino, frecuencia alta, tamaño 15m",NA
74,74,"Tipo de vegetación pino encino, frecuencia alta, tamaño 15m",NA
75,75,"Tipo de vegetación pino encino, frecuencia alta, tamaño 15m",NA
76,76,"Tipo de vegetación pino encino, frecuencia alta, tamaño 15m",NA
77,77,"Tipo de vegetación pino encino, frecuencia alta, tamaño 15m",NA
78,78,Frecuencia alta,NA
79,79,"Tipo de vegetación selva humeda media, informacion ambiental a orilla de rio",NA
80,80,"Tipo de vegetación selva humeda media, informacion ambiental a orilla de rio",NA
81,81,"Tipo de vegetación selva humeda media, informacion ambiental a orilla de rio",NA
82,82,"Tipo de vegetación selva humeda media, informacion ambiental a orilla de rio",NA
83,83,"Tipo de vegetación selva humeda media, informacion ambiental a orilla de rio",NA
84,84,NA,NA
85,85,NA,NA
86,86,"Tipo de vegetación pino encino, frecuencia alta",NA
87,87,"Tipo de vegetación pino encino, frecuencia alta",NA
88,88,"Tipo de vegetación pino encino, frecuencia alta",NA
89,89,"Tipo de vegetación pino encino, frecuencia alta",NA
90,90,"Tipo de vegetación pino encino, frecuencia alta",NA
91,91,"Tipo de vegetación pino encino, frecuencia alta",NA
92,92,"Tipo de vegetación pino encino, frecuencia alta",NA
93,94,Frecuencia alta,NA
94,95,"Tipo de vegetación bosque mesófilo, frecuencia alta",NA
95,96,"Tipo de vegetación bosque mesófilo, frecuencia alta",NA
96,97,"Tipo de vegetación bosque mesófilo, frecuencia alta",NA
97,98,"Tipo de vegetación bosque mesófilo, frecuencia alta",NA
98,99,"Tipo de vegetación bosque mesófilo, frecuencia alta",NA
99,100,"Tipo de vegetación bosque mesófilo, frecuencia alta",NA
100,101,"Tipo de vegetacion bosque mesófilo, frecuencia alta",NA
101,102,"Tipo de vegetación bosque mesófilo, frecuencia alta",NA
102,103,"Tipo de vegetación bosque mesófilo, frecuencia alta",NA
103,104,"Tipo de vegetación bosque mesófilo, frecuencia alta",NA
104,105,"Tipo de vegetación bosque mesófilo, frecuencia alta",NA
105,106,"Tipo de vegetación potreros, frecuencia alta, tamaño 15m",NA
106,107,"Tipo de vegetación potreros, frecuencia alta, tamaño 15m",NA
107,108,"Tipo de vegetación potreros, frecuencia alta, tamaño 15m",NA
108,109,"Tipo de vegetación potreros, frecuencia alta, tamaño 15m",NA
109,110,"Tipo de vegetación potreros, frecuencia alta, tamaño 15m",NA
110,111,"Tipo de vegetación potreros, frecuencia alta, tamaño 15m",NA
111,112,"Tipo de vegetación potreros, frecuencia alta, tamaño 15m",NA
112,113,"Tipo de vegetación potreros, frecuencia alta, tamaño 15m",NA
113,121,NA,NA
114,122,NA,NA
115,124,NA,NA
116,125,NA,NA
117,126,NA,NA
118,127,"Tipo de vegetación bosque mesófilo, frecuencia alta",NA
119,128,NA,NA
120,129,NA,NA
121,130,NA,NA
122,131,"Tipo de vegetación bosque mesófilo con presencia de helechos arborescentes, altura 30m, frecuencia escasa",NA
123,132,"Tipo de vegetación bosque mesófilo con liquidambar y helechos arborescentes, altura 25m, con fruto anual que sale de la axila de la hoja",NA
124,133,"Tipo de vegetación bosque mesófilo con liquidambar y helechos arborescentes, altura 25m, con fruto anual que sale de la axila de la hoja",NA
125,134,"Tipo de vegetación bosque mesófilo con liquidambar y helechos arborescentes, altura 25m, con fruto anual que sale de la axila de la hoja",NA
126,135,"Tipo de vegetación bosque mesófilo con liquidambar y helechos arborescentes, altura 25m, con fruto anual que sale de la axila de la hoja",NA
127,136,"Tipo de vegetación bosque de encino con selva alta, altura 25 m",NA
128,140,NA,NA
129,141,"Tipo de vegetación bosque mesófilo, frecuencia alta",NA
130,142,"Tipo de vegetación bosque mesófilo, frecuencia alta",NA
131,143,"Tipo de vegetación bosque mesófilo, frecuencia alta",NA
132,144,NA,NA
133,145,NA,NA
134,146,"Tipo de vegetación selva humeda media, frecuencia baja, información ambiental a orilla de rio",NA
135,147,"Tipo de vegetación selva humeda media, frecuencia baja, información ambiental a orilla de rio",NA
136,148,"Tipo de vegetación selva humeda media, frecuencia baja, información ambiental a orilla de rio",NA
137,149,"Tipo de vegetación selva humeda media, frecuencia alta, información ambiental a orilla de rio",NA
138,150,"Tipo de vegetación selva humeda media, frecuencia alta, información ambiental a orilla de rio",NA
139,151,"Tipo de vegetación selva humeda media, frecuencia baja, información ambiental a orilla de rio",NA
140,152,NA,NA
141,153,NA,NA
142,154,"Tipo de vegetación bosque mesófilo, frecuencia alta",NA
143,155,"Tipo de vegetación bosque mesófilo, frecuencia alta",NA
144,156,"Tipo de vegetación bosque mesófilo, frecuencia alta",NA
145,157,"Tipo de vegetación bosque mesófilo, frecuencia alta",NA
146,158,"Tipo de vegetación bosque mesófilo, frecuencia alta",NA
147,159,"Tipo de vegetación selva humeda media, frecuencia alta, información ambiental a orilla de rio",NA
148,160,"Tipo de vegetación selva humeda media, informacion ambiental a orilla de rio",NA
149,161,"Tipo de vegetación selva humeda media, informacion ambiental a orilla de rio",NA
150,162,Tipo de vegetación bosque de encino,NA
151,163,Tipo de vegetación bosque de encino,NA
152,164,Tipo de vegetación bosque de encino,NA
153,165,"Tipo de vegetación selva humeda media, informacion ambiental a orilla de rio",NA
154,167,"Tipo de vegetación selva humeda media, frecuencia baja, información ambiental a orilla de rio",NA
155,168,"Tipo de vegetación selva humeda media, frecuencia alta,  información ambiental a orilla de rio",NA
156,169,"Tipo de vegetación pino encino, frecuencia alta",NA
157,170,"Tipo de vegetación pino encino, frecuencia alta",NA
158,171,"Tipo de vegetación pino encino, frecuencia alta",NA
159,172,NA,NA
160,173,NA,NA
161,174,"Tipo de vegetación selva humeda media, frecuencia baja, información ambiental a orilla de rio",NA
162,175,"Tipo de vegetación selva humeda media, frecuencia baja, información ambiental a orilla de rio",NA
163,176,"Tipo de vegetación selva humeda media, frecuencia baja, información ambiental a orilla de rio",NA
164,179,"Tipo de vegetación selva humeda media,  informacion ambiental a orilla de rio",NA
165,180,"Tipo de vegetación selva humeda media, frecuencia alta,  información ambiental a orilla de rio",NA
166,181,Tipo de vegetación bosque de encino,NA
167,182,Tipo de vegetación bosque de encino,NA
168,185,NA,NA
169,186,NA,NA
170,187,"Tipo de vegetación bosque mesófilo, frecuencia alta",NA
171,188,NA,NA
172,189,Tipo de vegetación bosque de encino,NA
173,190,NA,NA
174,191,"Tipo de vegetación bosque mesófilo perturbado, frecuencia escasa, altura 25m",NA
175,192,Arbol de 8 m,NA
176,193,Transición bosque tropical caducifolio a bosque de encino,NA
177,194,Transición bosque tropical caducifolio a bosque de encino,NA
178,195,NA,NA
179,200,NA,NA
180,201,NA,NA
181,202,NA,NA
182,203,NA,NA
183,204,NA,NA
184,205,NA,NA
185,207,Tipo de vegetacion bosque de encino,NA
186,211,NA,NA
187,212,"Tipo de vegetacion bosque de pino-encino, entre la selva; altura 12m bianual, frecuencia baja",NA
188,213,"Tipo de vegetacion bosque de encino, hojas predomintes enteras, fruto pequeño bianual; altura 12m",NA
189,214,"Tipo de vegetacion bosque de encino, sobre la coli, altura 12m",NA
190,215,"Tipo de vegetacion bosque de encino, sobre la coli, altura 12m",NA
191,216,NA,NA
192,217,NA,NA
193,218,Tipo de vegetación bosque mesófilo,NA
194,219,"Tipo de vegetación bosque mesófilo con liquidambar y helechos arborescentes, Altura 25m, fruto anual",NA
195,220,NA,NA
196,221,NA,NA
197,222,"Tipo de vegetación pino encino, frecuencia alta",NA
198,223,"Tipo de vegetación pino encino, frecuencia alta",NA
199,224,"Tipo de vegetación pino encino, frecuencia alta",NA
200,225,"Tipo de vegetación pino encino, frecuencia alta",NA
201,227,"Tipo de vegetacion bosque de encino, pequeña coli dentro de cafetales, tamaño 25m, frecuencia alta",NA
202,228,"Tipo de vegetacion bosque de encino, pequeña coli dentro de cafetales, tamaño 25m, frecuencia alta",NA
203,229,"Tipo de vegetacion bosque de encino, pequeña coli dentro de cafetales, tamaño 25m, frecuencia alta",NA
204,231,"Tipo de vegetación bosque de pino encino, altura de 8m",NA
205,234,"Tipo de vegetación bosque tropical caducifolio, altura 3m",NA
206,236,"Tipo de vegetacion matorral con elementos de bosque tropical caducifolio, altura de 10- 15 m",NA
207,237,"Tipo de vegetación matorral con elementos de bosque tropical caducifolio, altura de 10- 15 m",NA
208,238,"Tipo de vegetacion transición bosque tropical caducifolio a bosque de encino, altura 4m",NA
209,239,Tipo de vegetacion transición bosque tropical caducifolio a bosque de encino,NA
210,240,"Tipo de vegetación bosque de encino, altura 5m",NA
211,241,"Tipo de vegetación bosque de encino, altura 5m",NA
212,242,"Tipo de vegetación bosque de encino, altura 5m",NA
213,243,Altura 3m,NA
214,244,Altura 3m,NA
215,245,Altura 3m,NA
216,246,Altura 3m,NA
217,247,"Tipo de vegetación bosque tropical caducifolio, (remanentes) sitio perturbado, altura 2m",NA
218,248,"Tipo de vegetación remanentes de bosque tropical caducifolio, sitio perturbado, altura 2m",NA
219,249,"Tipo de vegetación bosque de encino, altura 5m",NA
220,250,NA,no tiene coordedas
221,251,"Tipo de vegetacion bosque de encino con Juniperus, hojas caídas, altura 12 m, frecuencia abundante",NA
222,253,NA,no tiene coordedas
223,254,"Tipo de vegetación bosque de encino, glaucoides y sartorii, zona seca, altura 12m, árbol cambiando hojas",NA
224,255,NA,no tiene coordedas
225,256,"Tipo de vegetación bosque de encino, glaucoides y sartorii, zona seca, altura 12m, árbol cambiando hojas",NA
226,257,"Tipo de vegetacion bosque de encino, zona seca, frecuencia alta, entre los cafetales, altura 15m",NA
227,258,"Tipo de vegetacion bosque de encino, zona seca, frecuencia alta, entre los cafetales, altura 15m",NA
228,259,"Tipo de vegetacion bosque de encino, zona seca, frecuencia alta, entre los cafetales, altura 15m",NA
229,274,Tipo de vegetacion bosque de encino perturbado con cafetales,NA
230,297,"Tipo de vegetacion bosque de encinos, altura 10m",NA
231,298,"Tipo de vegetación bosque mesófilo, frecuencia alta",NA
232,24,"Tipo de vegetación pino encino, frecuencia alta",NA
233,25,"Tipo de vegetación pino encino, frecuencia alta",NA
234,26,"Tipo de vegetación pino encino, frecuencia alta",NA
235,27,"Tipo de vegetación pino encino, frecuencia alta",NA
236,28,"Tipo de vegetación pino encino, frecuencia alta",NA
237,29,Tipo de vegetación pino encino,NA
238,38,Tipo de vegetacion bosque de pino-encino,NA
239,64,"Tipo de vegetación pino encino, frecuencia alta",SIN FICHA
240,64,"Tipo de vegetación pino encino, frecuencia alta",SIN FICHA
241,93,"Tipo de vegetación pino encino, frecuencia alta",NA
242,114,"Tipo de vegetación pino encino, frecuencia alta",NA
243,115,"Tipo de vegetación pino encino, frecuencia alta",NA
244,116,"Tipo de vegetación pino encino, frecuencia alta",NA
245,117,"Tipo de vegetación pino encino, frecuencia alta",NA
246,118,"Tipo de vegetación pino encino, frecuencia alta",NA
247,119,"Tipo de vegetación pino encino, frecuencia alta",NA
248,120,"Tipo de vegetación pino encino, frecuencia alta",NA
249,123,"Tipo de vegetación pino encino, frecuencia alta",NA
250,137,"Tipo de vegetación pino encino, frecuencia alta",NA
251,138,"Tipo de vegetación pino encino, frecuencia alta",NA
252,139,"Tipo de vegetación pino encino, frecuencia alta",NA
253,166,"Tipo de vegetacion selva media con encinos, altura 30m",NA
254,177,"Tipo de vegetacion selva media con quercus, altura 30m",NA
255,178,"Tipo de vegetacion selva media con quercus, altura 30m",NA
256,196,"Tipo de vegetacion bosque de encino perturbado con cafetales, altura 20m",NA
257,197,"Tipo de vegetacion bosque de encino perturbado con cafetales, altura 20m",NA
258,198,"Tipo de vegetacion bosque mesófilo con presencia de helechos arborecentes, altura25m, frecuencia baja",NA
259,199,Tipo de vegetacion bosque de encino,NA
260,208,Tipo de vegetacion bosque de pino- encino,NA
261,209,Tipo de vegetacion bosque de pino- encino,NA
262,210,"Tipo de vegetacion calon humedo con elementos de mesófilo, altura 8m",NA
263,226,Tipo de vegetacion bosque de pino- encino,NA
264,230,Tipo de vegetacion bosque de encino,NA
265,232,"Tipo de vegetación bosque de pino encino, altura de 10- 15m",NA
266,233,"Tipo de vegetación bosque de pino encino, altura de 10- 15m",NA
267,235,"Tipo de vegetación bosque de pino encino, altura 5-10m",NA
268,252,"Tipo de vegetación matorral xerófilo con palmas y Quercus, altura 15m. bianual",NA
269,260,"Tipo de vegetacion bosque de pino-encino, altura 15m",NA
270,261,"Tipo de vegetacion bosque de pino-encino, altura 15m",NA
271,262,"Tipo de vegetacion bosque d epino-encino, pareciera estar presente Q. paxtalensis, altura 20m",NA
272,263,"Tipo de vegetacion bosque de encino, entre maizales y duraznos, altura 10m",NA
273,264,"Tipo de vegetacion bosque de encino, entre maizales y duraznos, altura 10m",NA
274,265,"Tipo de vegetacion bosque de encino, entre maizales y duraznos, altura 10m",NA
275,266,"Tipo de vegetacion bosque de encino rodeado por matorral xerofilo y cactaceas, altura 8m, frecuencia alta, bianual",NA
276,267,"Tipo de vegetacion bosque de encino rodeado por matorral xerofilo y cactaceas, altura 8m, frecuencia alta, bianual",NA
277,268,"Tipo de vegetacion bosque de encino rodeado por matorral xerofilo y cactaceas, altura 8m, frecuencia alta, bianual",NA
278,269,"Tipo de vegetacion bosque de encino, altura 10m, frecuencia alta con Q. rugosa, de fruto anual",NA
279,270,"Tipo de vegetacion bosque de encino, altura 10m, frecuencia alta con Q. rugosa, de fruto anual",NA
280,271,"Tipo de vegetacion pino-encino, con Pinus pseudostrobus, altura 6m, bellotas muy pequeñas bianuales, hojas muy pequeñas",NA
281,272,"Tipo de vegetacion pino-encino, con Pinus pseudostrobus, altura 6m, bellotas muy pequeñas bianuales, hojas muy pequeñas",NA
282,273,"Tipo de vegetacion pino-encino, con Pinus pseudostrobus, altura 6m, bellotas muy pequeñas bianuales, hojas muy pequeñas",NA
283,275,"Tipo de vegetacion bosque mesófilo de encino perturbado, altura 12m, arbol joven, frecuencia baja",NA
284,276,"Tipo de vegetacion bosque de encino, futos bianuales, junto a Q. paxtalensis, altura 20m",NA
285,277,Tipo de vegetacion bosque de pino- encino,NA
286,278,"Tipo de vegetacion cañon humedo con elementos de mesófilo, altura 6m",NA
287,279,"Tipo de vegetacion cañon humedo con elementos de mesófilo, altura 8m",NA
288,280,"Tipo de vegetacion cañon humedo con elementos de mesófilo, altura 8m",NA
289,281,"Tipo de vegetacion cañon humedo con elementos de mesófilo, altura 6m, fruto bianual cupula extendida",NA
290,282,"Tipo de vegetacion cañon humedo con elementos de mesófilo, altura 6m, fruto bianual cupula extendida",NA
291,283,"Tipo de vegetacion bosque de encino- mesófilo perturbado, altura 12m, arboles jovenes, frecuencia baja",NA
292,284,Tipo de vegetacion bosque de pino-encino,NA
293,285,"Tipo de vegetacion bosque de encino con selva alta, altura 25m",NA
294,287,"Tipo de vegetacion bosque de encino- mesófilo perturbado, arboles jovenes, altura 12m. frecuencia baja",NA
295,288,Topo de vegetacion bosque de pino-encino,NA
296,290,"Tipo de vegetacion bosque de encino, fruto bianual, altura 30m",NA
297,291,"Tipo de vegetacion bosque de encino, altura 8m",NA
298,292,"Tipo de vegetacion cañon humedo con elementos de mesófilo, altura 8m",NA
299,293,Tipo de vegetacion bosque de encino,NA
300,294,"Tipo de vegetacion bosque de encino, altura 8m, fruto anual",NA
301,295,Presente Q. uxoris y Q. paxtalensis,NA
302,296,"Tipo de vegetacion bosque de encinocon selva alta, altura 25m",NA
303,183,Tipo de vegetación bosque de encino,La esta trabajando Gonzalez Villarreal
304,184,Tipo de vegetación bosque de encino,NA
305,206,"Tipo de vegetacion bosque de encino y alnus, altura 10m, fruto anual",NA
306,286,"Tipo de vegetacionbosque de latifoliadas sobre el rio, hojas grandes, altura 20m",NA
307,289,Tipo de vegetacion bosque de encino,NA
